# Acc1	amplitude
# "Acc1"	"amplitude"
# 875
0	2.0611536181902e-18
0.8	2.14527089289753e-18
1.6	2.23282105869359e-18
2.4	2.32394421452018e-18
3.2	2.41878617686526e-18
4	2.51749871310048e-18
4.8	2.62023978434124e-18
5.6	2.72717379821828e-18
6.4	2.83847187196484e-18
7.2	2.95431210624082e-18
8	3.07487987013172e-18
8.8	3.20036809777878e-18
9.6	3.3309775971147e-18
10.4	3.46691737119914e-18
11.2	3.60840495266829e-18
12	3.75566675183326e-18
12.8	3.90893841898507e-18
13.6	4.06846522148518e-18
14.4	4.23450243624571e-18
15.2	4.40731575822681e-18
16	4.58718172560527e-18
16.8	4.77438816229461e-18
17.6	4.96923463852459e-18
18.4	5.17203295021753e-18
19.2	5.3831076179282e-18
20	5.60279640614594e-18
20.8	5.83145086378969e-18
21.6	6.0694368867614e-18
22.4	6.3171353034572e-18
23.2	6.5749424841743e-18
24	6.84327097538763e-18
24.8	7.12255015991231e-18
25.6	7.41322694400762e-18
26.4	7.71576647252209e-18
27.2	8.03065287322466e-18
28	8.35839003151192e-18
28.8	8.69950239673238e-18
29.6	9.0545358214169e-18
30.4	9.42405843475922e-18
31.2	9.8086615517436e-18
32	1.02089606193747e-17
32.8	1.0625596201524e-17
33.6	1.10592350039682e-17
34.4	1.15105709412606e-17
35.2	1.1980326247142e-17
36	1.24692526302687e-17
36.8	1.29781324771061e-17
37.6	1.35077801039138e-17
38.4	1.40590430598249e-17
39.2	1.46328034831047e-17
40	1.52299795127604e-17
40.8	1.58515267577578e-17
41.6	1.64984398262003e-17
42.4	1.7171753916912e-17
43.2	1.78725464759774e-17
44	1.86019389208834e-17
44.8	1.9361098435026e-17
45.6	2.01512398354521e-17
46.4	2.09736275168249e-17
47.2	2.18295774747243e-17
48	2.27204594115193e-17
48.8	2.36476989281831e-17
49.6	2.46127798055574e-17
50.4	2.56172463787173e-17
51.2	2.66627060082351e-17
52	2.77508316522988e-17
52.8	2.88833645438004e-17
53.6	3.00621169766781e-17
54.4	3.12889752059713e-17
55.2	3.25659024662291e-17
56	3.38949421131021e-17
56.8	3.52782208931443e-17
57.6	3.67179523470596e-17
58.4	3.82164403518354e-17
59.2	3.97760828074346e-17
60	4.13993754739433e-17
60.8	4.30889159653158e-17
61.6	4.48474079061074e-17
62.4	4.66776652578451e-17
63.2	4.85826168219635e-17
64	5.05653109265044e-17
64.8	5.26289203040883e-17
65.6	5.47767471689568e-17
66.4	5.70122285012126e-17
67.2	5.93389415467159e-17
68	6.17606095414305e-17
68.8	6.42811076693898e-17
69.6	6.69044692638072e-17
70.4	6.96348922612612e-17
71.2	7.24767459192785e-17
72	7.54345778080664e-17
72.8	7.85131210875837e-17
73.6	8.17173020815916e-17
74.4	8.50522481608098e-17
75.2	8.85232959477869e-17
76	9.21359998566181e-17
76.8	9.58961409811733e-17
77.6	9.98097363460624e-17
78.4	1.03883048535135e-16
79.2	1.08122595712928e-16
80	1.12535162055095e-16
80.8	1.17127808604503e-16
81.6	1.21907884570381e-16
82.4	1.26883039088592e-16
83.2	1.32061233461841e-16
84	1.37450753899427e-16
84.8	1.43060224776898e-16
85.6	1.48898622436851e-16
86.4	1.54975289552945e-16
87.2	1.61299950080123e-16
88	1.67882724814952e-16
88.8	1.74734147591e-16
89.6	1.81865182135149e-16
90.4	1.89287239611823e-16
91.2	1.9701219688321e-16
92	2.05052415514691e-16
92.8	2.13420761555886e-16
93.6	2.22130626128982e-16
94.4	2.3119594685728e-16
95.2	2.40631230168243e-16
96	2.50451574506755e-16
96.8	2.60672694495711e-16
97.6	2.71310946082622e-16
98.4	2.82383352712458e-16
99.2	2.93907632568621e-16
100	3.05902226925625e-16
100.8	3.18386329658866e-16
101.6	3.31379917958702e-16
102.4	3.44903784297971e-16
103.2	3.58979569704135e-16
104	3.73629798389248e-16
104.8	3.88877913793202e-16
105.6	4.04748316097902e-16
106.4	4.21266401272404e-16
107.2	4.38458601711502e-16
108	4.56352428532765e-16
108.8	4.74976515599755e-16
109.6	4.94360665341819e-16
110.4	5.14535896443795e-16
111.2	5.35534493481963e-16
112	5.57390058585609e-16
112.8	5.80137565206938e-16
113.6	6.03813414085316e-16
114.4	6.28455491495428e-16
115.2	6.54103229872534e-16
116	6.80797670911849e-16
116.8	7.08581531242993e-16
117.6	7.3749927078462e-16
118.4	7.67597163888585e-16
119.2	7.989233733875e-16
120	8.31528027664132e-16
120.8	8.65463300866015e-16
121.6	9.0078349639358e-16
122.4	9.375451337954e-16
123.2	9.75807039209624e-16
124	1.01563043949625e-15
