# Acc1	amplitude
# "Acc1"	"amplitude"
# 875
0	2.0611536181902e-21
0.8	2.14527089289753e-21
1.6	2.23282105869359e-21
2.4	2.32394421452018e-21
3.2	2.41878617686526e-21
4	2.51749871310048e-21
4.8	2.62023978434124e-21
5.6	2.72717379821828e-21
6.4	2.83847187196484e-21
7.2	2.95431210624082e-21
8	3.07487987013172e-21
8.8	3.20036809777877e-21
9.6	3.3309775971147e-21
10.4	3.46691737119914e-21
11.2	3.60840495266829e-21
12	3.75566675183326e-21
12.8	3.90893841898507e-21
13.6	4.06846522148518e-21
14.4	4.23450243624571e-21
15.2	4.40731575822681e-21
16	4.58718172560527e-21
16.8	4.77438816229461e-21
17.6	4.96923463852459e-21
18.4	5.17203295021753e-21
19.2	5.3831076179282e-21
20	5.60279640614594e-21
20.8	5.83145086378969e-21
21.6	6.0694368867614e-21
22.4	6.3171353034572e-21
23.2	6.5749424841743e-21
24	6.84327097538763e-21
24.8	7.12255015991231e-21
25.6	7.41322694400762e-21
26.4	7.71576647252209e-21
27.2	8.03065287322466e-21
28	8.35839003151192e-21
28.8	8.69950239673238e-21
29.6	9.0545358214169e-21
30.4	9.42405843475922e-21
31.2	9.8086615517436e-21
32	1.02089606193747e-20
32.8	1.0625596201524e-20
33.6	1.10592350039682e-20
34.4	1.15105709412606e-20
35.2	1.1980326247142e-20
36	1.24692526302687e-20
36.8	1.29781324771061e-20
37.6	1.35077801039138e-20
38.4	1.40590430598249e-20
39.2	1.46328034831047e-20
40	1.52299795127603e-20
40.8	1.58515267577578e-20
41.6	1.64984398262003e-20
42.4	1.7171753916912e-20
43.2	1.78725464759774e-20
44	1.86019389208834e-20
44.8	1.9361098435026e-20
45.6	2.01512398354521e-20
46.4	2.09736275168249e-20
47.2	2.18295774747243e-20
48	2.27204594115193e-20
48.8	2.36476989281831e-20
49.6	2.46127798055574e-20
50.4	2.56172463787173e-20
51.2	2.66627060082351e-20
52	2.77508316522988e-20
52.8	2.88833645438004e-20
53.6	3.00621169766781e-20
54.4	3.12889752059713e-20
55.2	3.25659024662291e-20
56	3.38949421131021e-20
56.8	3.52782208931443e-20
57.6	3.67179523470596e-20
58.4	3.82164403518354e-20
59.2	3.97760828074346e-20
60	4.13993754739433e-20
60.8	4.30889159653158e-20
61.6	4.48474079061074e-20
62.4	4.66776652578451e-20
63.2	4.85826168219635e-20
64	5.05653109265044e-20
64.8	5.26289203040883e-20
65.6	5.47767471689568e-20
66.4	5.70122285012126e-20
67.2	5.93389415467159e-20
68	6.17606095414305e-20
68.8	6.42811076693898e-20
69.6	6.69044692638072e-20
70.4	6.96348922612612e-20
71.2	7.24767459192785e-20
72	7.54345778080664e-20
72.8	7.85131210875837e-20
73.6	8.17173020815916e-20
74.4	8.50522481608098e-20
75.2	8.85232959477869e-20
76	9.21359998566181e-20
76.8	9.58961409811733e-20
77.6	9.98097363460623e-20
78.4	1.03883048535135e-19
79.2	1.08122595712928e-19
80	1.12535162055095e-19
80.8	1.17127808604503e-19
81.6	1.21907884570381e-19
82.4	1.26883039088592e-19
83.2	1.32061233461841e-19
84	1.37450753899427e-19
84.8	1.43060224776898e-19
85.6	1.48898622436851e-19
86.4	1.54975289552945e-19
87.2	1.61299950080123e-19
88	1.67882724814952e-19
88.8	1.74734147591e-19
89.6	1.81865182135149e-19
90.4	1.89287239611823e-19
91.2	1.9701219688321e-19
92	2.05052415514691e-19
92.8	2.13420761555886e-19
93.6	2.22130626128982e-19
94.4	2.3119594685728e-19
95.2	2.40631230168243e-19
96	2.50451574506755e-19
96.8	2.60672694495711e-19
97.6	2.71310946082622e-19
98.4	2.82383352712458e-19
99.2	2.93907632568621e-19
100	3.05902226925625e-19
100.8	3.18386329658866e-19
101.6	3.31379917958702e-19
102.4	3.44903784297971e-19
103.2	3.58979569704135e-19
