# Acc1	amplitude
# "Acc1"	"amplitude"
# 875
0	0
0.8	0
1.6	0
2.4	0
3.2	0
4	0
4.8	0
5.6	0
6.4	0
7.2	0
8	0
8.8	0
9.6	0
10.4	0
11.2	0
12	0
12.8	0
13.6	0
14.4	0
15.2	0
16	0
16.8	0
17.6	0
18.4	0
19.2	0
20	0
20.8	0
21.6	0
22.4	0
23.2	0
24	0
24.8	0
25.6	0
26.4	0
27.2	0
28	0
28.8	0
29.6	0
30.4	0
31.2	0
32	0
32.8	0
33.6	0
34.4	0
35.2	0
36	0
36.8	0
37.6	0
38.4	0
39.2	0
40	0
40.8	0
41.6	0
42.4	0
43.2	0
44	0
44.8	0
45.6	0
46.4	0
47.2	0
48	0
48.8	0
49.6	0
50.4	0
51.2	0
52	0
52.8	0
53.6	0
54.4	0
55.2	0
56	0
56.8	0
57.6	0
58.4	0
59.2	0
60	0
60.8	0
61.6	0
62.4	0
63.2	0
64	0
64.8	0
65.6	0
66.4	0
67.2	0
68	0
68.8	0
69.6	0
70.4	0
71.2	0
72	0
72.8	0
73.6	0
74.4	0
75.2	0
76	0
76.8	0
77.6	0
78.4	0
79.2	0
80	0
80.8	0
81.6	0
82.4	0
83.2	0
84	0
84.8	0
85.6	0
86.4	0
87.2	0
88	0
88.8	0
89.6	0
90.4	0
91.2	0
92	0
92.8	0
93.6	0
94.4	0
95.2	0
96	0
96.8	0
97.6	0
98.4	0
99.2	0
100	0
100.8	0
101.6	0
102.4	0
103.2	0
104	0
104.8	0
105.6	0
106.4	0
107.2	0
108	0
108.8	0
109.6	0
110.4	0
111.2	0
112	0
112.8	0
113.6	0
114.4	0
115.2	0
116	0
116.8	0
117.6	0
118.4	0
119.2	0
120	0
120.8	0
121.6	0
122.4	0
123.2	0
124	0
124.8	0
125.6	0
126.4	0
127.2	0
128	0
128.8	0
129.6	0
130.4	0
131.2	0
132	0
132.8	0
133.6	0
134.4	0
135.2	0
136	0
136.8	0
137.6	0
138.4	0
139.2	0
140	0
140.8	0
141.6	0
142.4	0
143.2	0
144	0
144.8	0
145.6	0
146.4	0
147.2	0
148	0
148.8	0
149.6	0
150.4	0
151.2	0
152	0
152.8	0
153.6	0
154.4	0
155.2	0
156	0
156.8	0
157.6	0
158.4	0
159.2	0
160	0
160.8	0
161.6	0
162.4	0
163.2	0
164	0
164.8	0
165.6	0
166.4	0
167.2	0
168	0
168.8	0
169.6	0
170.4	0
171.2	0
172	0
172.8	0
173.6	0
174.4	0
175.2	0
176	0
176.8	0
177.6	0
178.4	0
179.2	0
180	0
180.8	0
181.6	0
182.4	0
183.2	0
184	0
184.8	0
185.6	0
186.4	0
187.2	0
188	0
188.8	0
189.6	0
190.4	0
191.2	0
192	0
192.8	0
193.6	0
194.4	0
195.2	0
196	0
196.8	0
197.6	0
198.4	0
199.2	0
200	0
200.8	0
201.6	0
202.4	0
203.2	0
204	0
204.8	0
205.6	0
206.4	0
207.2	0
208	0
208.8	0
209.6	0
210.4	0
211.2	0
212	0
212.8	0
213.6	0
214.4	0
215.2	0
216	0
216.8	0
217.6	0
218.4	0
219.2	0
220	0
220.8	0
221.6	0
222.4	0
223.2	0
224	0
224.8	0
225.6	0
226.4	0
227.2	0
228	0
228.8	0
229.6	0
230.4	0
231.2	0
232	0
232.8	0
233.6	0
234.4	0
235.2	0
236	0
236.8	0
237.6	0
238.4	0
239.2	0
240	0
240.8	0
241.6	0
242.4	0
243.2	0
244	0
244.8	0
245.6	0
246.4	0
247.2	0
248	0
248.8	0
249.6	0
250.4	0
251.2	0
252	0
252.8	0
253.6	0
254.4	0
255.2	0
256	0
256.8	0
257.6	0
258.4	0
259.2	0
260	0
260.8	0
261.6	0
262.4	0
263.2	0
264	0
264.8	0
265.6	0
266.4	0
267.2	0
268	0
268.8	0
269.6	0
270.4	0
271.2	0
272	0
272.8	0
273.6	0
274.4	0
275.2	0
276	0
276.8	0
277.6	0
278.4	0
279.2	0
280	0
280.8	0
281.6	0
282.4	0
283.2	0
284	0
284.8	0
285.6	0
286.4	0
287.2	0
288	0
288.8	0
289.6	0
290.4	0
291.2	0
292	0
292.8	0
293.6	0
294.4	0
295.2	0
296	0
296.8	0
297.6	0
298.4	0
299.2	0
300	0
300.8	0
301.6	0
302.4	0
303.2	0
304	0
304.8	0
305.6	0
306.4	0
307.2	0
308	0
308.8	0
309.6	0
310.4	0
311.2	0
312	0
312.8	0
313.6	0
314.4	0
315.2	0
316	0
316.8	0
317.6	0
318.4	0
319.2	0
320	0
320.8	0
321.6	0
322.4	0
323.2	0
324	0
324.8	0
325.6	0
326.4	0
327.2	0
328	0
328.8	0
329.6	0
330.4	0
331.2	0
332	0
332.8	0
333.6	0
334.4	0
335.2	0
336	0
336.8	0
337.6	0
338.4	0
339.2	0
340	0
340.8	0
341.6	0
342.4	0
343.2	0
344	0
344.8	0
345.6	0
346.4	0
347.2	0
348	0
348.8	0
349.6	0
350.4	0
351.2	0
352	0
352.8	0
353.6	0
354.4	0
355.2	0
356	0
356.8	0
357.6	0
358.4	0
359.2	0
360	0
360.8	0
361.6	0
362.4	0
363.2	0
364	0
364.8	0
365.6	0
366.4	0
367.2	0
368	0
368.8	0
369.6	0
370.4	0
371.2	0
372	0
372.8	0
373.6	0
374.4	0
375.2	0
376	0
376.8	0
377.6	0
378.4	0
379.2	0
380	0
380.8	0
381.6	0
382.4	0
383.2	0
384	0
384.8	0
385.6	0
386.4	0
387.2	0
388	0
388.8	0
389.6	0
390.4	0
391.2	0
392	0
392.8	0
393.6	0
394.4	0
395.2	0
396	0
396.8	0
397.6	0
398.4	0
399.2	0
400	0
400.8	0
401.6	0
402.4	0
403.2	0
404	0
404.8	0
405.6	0
406.4	0
407.2	0
408	0
408.8	0
409.6	0
410.4	0
411.2	0
412	0
412.8	0
413.6	0
414.4	0
415.2	0
416	0
416.8	0
417.6	0
418.4	0
419.2	0
420	0
420.8	0
421.6	0
422.4	0
423.2	0
424	0
424.8	0
425.6	0
426.4	0
427.2	0
428	0
428.8	0
429.6	0
430.4	0
431.2	0
432	0
432.8	0
433.6	0
434.4	0
435.2	0
436	0
436.8	0
437.6	0
438.4	0
439.2	0
440	0
440.8	0
441.6	0
442.4	0
443.2	0
444	0
444.8	0
445.6	0
446.4	0
447.2	0
448	0
448.8	0
449.6	0
450.4	0
451.2	0
452	0
452.8	0
453.6	0
454.4	0
455.2	0
456	0
456.8	0
457.6	0
458.4	0
459.2	0
460	0
460.8	0
461.6	0
462.4	0
463.2	0
464	0
464.8	0
465.6	0
466.4	0
467.2	0
468	0
468.8	0
469.6	0
470.4	0
471.2	0
472	0
472.8	0
473.6	0
474.4	0
475.2	0
476	0
476.8	0
477.6	0
478.4	0
479.2	0
480	0
480.8	0
481.6	0
482.4	0
483.2	0
484	0
484.8	0
485.6	0
486.4	0
487.2	0
488	0
488.8	0
489.6	0
490.4	0
491.2	0
492	0
492.8	0
493.6	0
494.4	0
495.2	0
496	0
496.8	0
497.6	0
498.4	0
499.2	0
500	0
500.8	0
501.6	0
502.4	0
503.2	0
504	0
504.8	0
505.6	0
506.4	0
507.2	0
508	0
508.8	0
509.6	0
510.4	0
511.2	0
512	0
512.8	0
513.6	0
514.4	0
515.2	0
516	0
516.8	0
517.6	0
518.4	0
519.2	0
520	0
520.8	0
521.6	0
522.4	0
523.2	0
524	0
524.8	0
525.6	0
526.4	0
527.2	0
528	0
528.8	0
529.6	0
530.4	0
531.2	0
532	0
532.8	0
533.6	0
534.4	0
535.2	0
536	0
536.8	0
537.6	0
538.4	0
539.2	0
540	0
540.8	0
541.6	0
542.4	0
543.2	0
544	0
544.8	0
545.6	0
546.4	0
547.2	0
548	0
548.8	0
549.6	0
550.4	0
551.2	0
552	0
552.8	0
553.6	0
554.4	0
555.2	0
556	0
556.8	0
557.6	0
558.4	0
559.2	0
560	0
560.8	0
561.6	0
562.4	0
563.2	0
564	0
564.8	0
565.6	0
566.4	0
567.2	0
568	0
568.8	0
569.6	0
570.4	0
571.2	0
572	0
572.8	0
573.6	0
574.4	0
575.2	0
576	0
576.8	0
577.6	0
578.4	0
579.2	0
580	0
580.8	0
581.6	0
582.4	0
583.2	0
584	0
584.8	0
585.6	0
586.4	0
587.2	0
588	0
588.8	0
589.6	0
590.4	0
591.2	0
592	0
592.8	0
593.6	0
594.4	0
595.2	0
596	0
596.8	0
597.6	0
598.4	0
599.2	0
600	0
600.8	0
601.6	0
602.4	0
603.2	0
604	0
604.8	0
605.6	0
606.4	0
607.2	0
608	0
608.8	0
609.6	0
610.4	0
611.2	0
612	0
612.8	0
613.6	0
614.4	0
615.2	0
616	0
616.8	0
617.6	0
618.4	0
619.2	0
620	0
620.8	0
621.6	0
622.4	0
623.2	0
624	0
624.8	0
625.6	0
626.4	0
627.2	0
628	0
628.8	0
629.6	0
630.4	0
631.2	0
632	0
632.8	0
633.6	0
634.4	0
635.2	0
636	0
636.8	0
637.6	0
638.4	0
639.2	0
640	0
640.8	0
641.6	0
642.4	0
643.2	0
644	0
644.8	0
645.6	0
646.4	0
647.2	0
648	0
648.8	0
649.6	0
650.4	0
651.2	0
652	0
652.8	0
653.6	0
654.4	0
655.2	0
656	0
656.8	0
657.6	0
658.4	0
659.2	0
660	0
660.8	0
661.6	0
662.4	0
663.2	0
664	0
664.8	0
665.6	0
666.4	0
667.2	0
668	0
668.8	0
669.6	0
670.4	0
671.2	0
672	0
672.8	0
673.6	0
674.4	0
675.2	0
676	0
676.8	0
677.6	0
678.4	0
679.2	0
680	0
